Epoch,Type,Metric,Algorithm,Value
1,Train set,Average loss,Adagrad,0.3129
1,Train set,Accuracy,Adagrad,83.0
1,Test set,Average loss,Adagrad,0.32
1,Test set,Accuracy,Adagrad,86.0
2,Train set,Average loss,Adagrad,0.2753
2,Train set,Accuracy,Adagrad,88.0
2,Test set,Average loss,Adagrad,0.3313
2,Test set,Accuracy,Adagrad,87.0
3,Train set,Average loss,Adagrad,0.4267
3,Train set,Accuracy,Adagrad,89.0
3,Test set,Average loss,Adagrad,0.3518
3,Test set,Accuracy,Adagrad,87.0
4,Train set,Average loss,Adagrad,0.278
4,Train set,Accuracy,Adagrad,90.0
4,Test set,Average loss,Adagrad,0.2918
4,Test set,Accuracy,Adagrad,88.0
5,Train set,Average loss,Adagrad,0.2401
5,Train set,Accuracy,Adagrad,90.0
5,Test set,Average loss,Adagrad,0.2509
5,Test set,Accuracy,Adagrad,88.0
6,Train set,Average loss,Adagrad,0.1993
6,Train set,Accuracy,Adagrad,91.0
6,Test set,Average loss,Adagrad,0.2995
6,Test set,Accuracy,Adagrad,88.0
7,Train set,Average loss,Adagrad,0.2024
7,Train set,Accuracy,Adagrad,91.0
7,Test set,Average loss,Adagrad,0.284
7,Test set,Accuracy,Adagrad,88.0
8,Train set,Average loss,Adagrad,0.3112
8,Train set,Accuracy,Adagrad,92.0
8,Test set,Average loss,Adagrad,0.3113
8,Test set,Accuracy,Adagrad,88.0
9,Train set,Average loss,Adagrad,0.2763
9,Train set,Accuracy,Adagrad,92.0
9,Test set,Average loss,Adagrad,0.2976
9,Test set,Accuracy,Adagrad,89.0
10,Train set,Average loss,Adagrad,0.1351
10,Train set,Accuracy,Adagrad,92.0
10,Test set,Average loss,Adagrad,0.3082
10,Test set,Accuracy,Adagrad,89.0
11,Train set,Average loss,Adagrad,0.2475
11,Train set,Accuracy,Adagrad,93.0
11,Test set,Average loss,Adagrad,0.3625
11,Test set,Accuracy,Adagrad,88.0
12,Train set,Average loss,Adagrad,0.2452
12,Train set,Accuracy,Adagrad,93.0
12,Test set,Average loss,Adagrad,0.3643
12,Test set,Accuracy,Adagrad,89.0
13,Train set,Average loss,Adagrad,0.1385
13,Train set,Accuracy,Adagrad,93.0
13,Test set,Average loss,Adagrad,0.3158
13,Test set,Accuracy,Adagrad,89.0
14,Train set,Average loss,Adagrad,0.363
14,Train set,Accuracy,Adagrad,93.0
14,Test set,Average loss,Adagrad,0.3107
14,Test set,Accuracy,Adagrad,89.0
15,Train set,Average loss,Adagrad,0.3314
15,Train set,Accuracy,Adagrad,94.0
15,Test set,Average loss,Adagrad,0.3871
15,Test set,Accuracy,Adagrad,89.0
16,Train set,Average loss,Adagrad,0.2093
16,Train set,Accuracy,Adagrad,94.0
16,Test set,Average loss,Adagrad,0.2503
16,Test set,Accuracy,Adagrad,90.0
17,Train set,Average loss,Adagrad,0.1652
17,Train set,Accuracy,Adagrad,94.0
17,Test set,Average loss,Adagrad,0.2851
17,Test set,Accuracy,Adagrad,89.0
18,Train set,Average loss,Adagrad,0.3471
18,Train set,Accuracy,Adagrad,94.0
18,Test set,Average loss,Adagrad,0.3725
18,Test set,Accuracy,Adagrad,89.0
19,Train set,Average loss,Adagrad,0.5077
19,Train set,Accuracy,Adagrad,94.0
19,Test set,Average loss,Adagrad,0.288
19,Test set,Accuracy,Adagrad,89.0
20,Train set,Average loss,Adagrad,0.1231
20,Train set,Accuracy,Adagrad,95.0
20,Test set,Average loss,Adagrad,0.2762
20,Test set,Accuracy,Adagrad,89.0
21,Train set,Average loss,Adagrad,0.1788
21,Train set,Accuracy,Adagrad,95.0
21,Test set,Average loss,Adagrad,0.3903
21,Test set,Accuracy,Adagrad,89.0
22,Train set,Average loss,Adagrad,0.1126
22,Train set,Accuracy,Adagrad,95.0
22,Test set,Average loss,Adagrad,0.3613
22,Test set,Accuracy,Adagrad,89.0
23,Train set,Average loss,Adagrad,0.1671
23,Train set,Accuracy,Adagrad,95.0
23,Test set,Average loss,Adagrad,0.2379
23,Test set,Accuracy,Adagrad,89.0
24,Train set,Average loss,Adagrad,0.1539
24,Train set,Accuracy,Adagrad,95.0
24,Test set,Average loss,Adagrad,0.3366
24,Test set,Accuracy,Adagrad,90.0
25,Train set,Average loss,Adagrad,0.0229
25,Train set,Accuracy,Adagrad,95.0
25,Test set,Average loss,Adagrad,0.2911
25,Test set,Accuracy,Adagrad,89.0
26,Train set,Average loss,Adagrad,0.0568
26,Train set,Accuracy,Adagrad,95.0
26,Test set,Average loss,Adagrad,0.3313
26,Test set,Accuracy,Adagrad,89.0
27,Train set,Average loss,Adagrad,0.1101
27,Train set,Accuracy,Adagrad,96.0
27,Test set,Average loss,Adagrad,0.2151
27,Test set,Accuracy,Adagrad,89.0
28,Train set,Average loss,Adagrad,0.1616
28,Train set,Accuracy,Adagrad,96.0
28,Test set,Average loss,Adagrad,0.3589
28,Test set,Accuracy,Adagrad,89.0
29,Train set,Average loss,Adagrad,0.1656
29,Train set,Accuracy,Adagrad,96.0
29,Test set,Average loss,Adagrad,0.2889
29,Test set,Accuracy,Adagrad,89.0
30,Train set,Average loss,Adagrad,0.2042
30,Train set,Accuracy,Adagrad,96.0
30,Test set,Average loss,Adagrad,0.2929
30,Test set,Accuracy,Adagrad,89.0
1,Train set,Average loss,Adadelta,0.5722
1,Train set,Accuracy,Adadelta,67.0
1,Test set,Average loss,Adadelta,0.6976
1,Test set,Accuracy,Adadelta,77.0
2,Train set,Average loss,Adadelta,0.5576
2,Train set,Accuracy,Adadelta,80.0
2,Test set,Average loss,Adadelta,0.5285
2,Test set,Accuracy,Adadelta,80.0
3,Train set,Average loss,Adadelta,0.6279
3,Train set,Accuracy,Adadelta,82.0
3,Test set,Average loss,Adadelta,0.4884
3,Test set,Accuracy,Adadelta,81.0
4,Train set,Average loss,Adadelta,0.6204
4,Train set,Accuracy,Adadelta,83.0
4,Test set,Average loss,Adadelta,0.5131
4,Test set,Accuracy,Adadelta,82.0
5,Train set,Average loss,Adadelta,0.4271
5,Train set,Accuracy,Adadelta,84.0
5,Test set,Average loss,Adadelta,0.4804
5,Test set,Accuracy,Adadelta,83.0
6,Train set,Average loss,Adadelta,0.4229
6,Train set,Accuracy,Adadelta,84.0
6,Test set,Average loss,Adadelta,0.4501
6,Test set,Accuracy,Adadelta,83.0
7,Train set,Average loss,Adadelta,0.2609
7,Train set,Accuracy,Adadelta,85.0
7,Test set,Average loss,Adadelta,0.407
7,Test set,Accuracy,Adadelta,84.0
8,Train set,Average loss,Adadelta,0.3896
8,Train set,Accuracy,Adadelta,85.0
8,Test set,Average loss,Adadelta,0.444
8,Test set,Accuracy,Adadelta,84.0
9,Train set,Average loss,Adadelta,0.4099
9,Train set,Accuracy,Adadelta,86.0
9,Test set,Average loss,Adadelta,0.381
9,Test set,Accuracy,Adadelta,84.0
10,Train set,Average loss,Adadelta,0.3787
10,Train set,Accuracy,Adadelta,86.0
10,Test set,Average loss,Adadelta,0.3939
10,Test set,Accuracy,Adadelta,85.0
11,Train set,Average loss,Adadelta,0.3375
11,Train set,Accuracy,Adadelta,86.0
11,Test set,Average loss,Adadelta,0.414
11,Test set,Accuracy,Adadelta,85.0
12,Train set,Average loss,Adadelta,0.4791
12,Train set,Accuracy,Adadelta,86.0
12,Test set,Average loss,Adadelta,0.4624
12,Test set,Accuracy,Adadelta,85.0
13,Train set,Average loss,Adadelta,0.2289
13,Train set,Accuracy,Adadelta,87.0
13,Test set,Average loss,Adadelta,0.3981
13,Test set,Accuracy,Adadelta,85.0
14,Train set,Average loss,Adadelta,0.7246
14,Train set,Accuracy,Adadelta,87.0
14,Test set,Average loss,Adadelta,0.4209
14,Test set,Accuracy,Adadelta,85.0
15,Train set,Average loss,Adadelta,0.5347
15,Train set,Accuracy,Adadelta,87.0
15,Test set,Average loss,Adadelta,0.4941
15,Test set,Accuracy,Adadelta,85.0
16,Train set,Average loss,Adadelta,0.3596
16,Train set,Accuracy,Adadelta,87.0
16,Test set,Average loss,Adadelta,0.3255
16,Test set,Accuracy,Adadelta,86.0
17,Train set,Average loss,Adadelta,0.2692
17,Train set,Accuracy,Adadelta,87.0
17,Test set,Average loss,Adadelta,0.4005
17,Test set,Accuracy,Adadelta,86.0
18,Train set,Average loss,Adadelta,0.5068
18,Train set,Accuracy,Adadelta,88.0
18,Test set,Average loss,Adadelta,0.4019
18,Test set,Accuracy,Adadelta,86.0
19,Train set,Average loss,Adadelta,0.7836
19,Train set,Accuracy,Adadelta,88.0
19,Test set,Average loss,Adadelta,0.3717
19,Test set,Accuracy,Adadelta,86.0
20,Train set,Average loss,Adadelta,0.4753
20,Train set,Accuracy,Adadelta,88.0
20,Test set,Average loss,Adadelta,0.3517
20,Test set,Accuracy,Adadelta,86.0
21,Train set,Average loss,Adadelta,0.7158
21,Train set,Accuracy,Adadelta,88.0
21,Test set,Average loss,Adadelta,0.4013
21,Test set,Accuracy,Adadelta,87.0
22,Train set,Average loss,Adadelta,0.1705
22,Train set,Accuracy,Adadelta,88.0
22,Test set,Average loss,Adadelta,0.3844
22,Test set,Accuracy,Adadelta,86.0
23,Train set,Average loss,Adadelta,0.4936
23,Train set,Accuracy,Adadelta,88.0
23,Test set,Average loss,Adadelta,0.337
23,Test set,Accuracy,Adadelta,87.0
24,Train set,Average loss,Adadelta,0.2891
24,Train set,Accuracy,Adadelta,88.0
24,Test set,Average loss,Adadelta,0.3424
24,Test set,Accuracy,Adadelta,87.0
25,Train set,Average loss,Adadelta,0.1551
25,Train set,Accuracy,Adadelta,88.0
25,Test set,Average loss,Adadelta,0.3218
25,Test set,Accuracy,Adadelta,86.0
26,Train set,Average loss,Adadelta,0.3988
26,Train set,Accuracy,Adadelta,88.0
26,Test set,Average loss,Adadelta,0.3632
26,Test set,Accuracy,Adadelta,87.0
27,Train set,Average loss,Adadelta,0.43
27,Train set,Accuracy,Adadelta,89.0
27,Test set,Average loss,Adadelta,0.3164
27,Test set,Accuracy,Adadelta,87.0
28,Train set,Average loss,Adadelta,0.3903
28,Train set,Accuracy,Adadelta,89.0
28,Test set,Average loss,Adadelta,0.4101
28,Test set,Accuracy,Adadelta,87.0
29,Train set,Average loss,Adadelta,0.391
